date,Lunch ,Dinner ,Total
Sat 27 Feb 21,0.0,0.0,0.0
Sun 28 Feb 21,0.0,0.0,0.0
Mon 1 Mar 21,0.0,0.0,0.0
Tue 2 Mar 21,0.0,0.0,0.0
Wed 3 Mar 21,0.0,0.0,0.0
Thu 4 Mar 21,10.0,0.0,10.0
Fri 5 Mar 21,0.0,0.0,0.0
Sat 6 Mar 21,0.0,0.0,0.0
Sun 7 Mar 21,0.0,0.0,0.0
Mon 8 Mar 21,0.0,0.0,0.0
Tue 9 Mar 21,0.0,0.0,0.0
Wed 10 Mar 21,0.0,0.0,0.0
Thu 11 Mar 21,0.0,0.0,120.0
Fri 12 Mar 21,0.0,0.0,0.0
Sat 13 Mar 21,0.0,0.0,0.0
Sun 14 Mar 21,0.0,0.0,0.0
Mon 15 Mar 21,0.0,0.0,0.0
Tue 16 Mar 21,0.0,0.0,0.0
Wed 17 Mar 21,0.0,0.0,0.0
Thu 18 Mar 21,0.0,0.0,0.0
Fri 19 Mar 21,0.0,0.0,0.0
Sat 20 Mar 21,0.0,0.0,0.0
Sun 21 Mar 21,0.0,0.0,0.0
Mon 22 Mar 21,0.0,0.0,0.0
Tue 23 Mar 21,0.0,0.0,0.0
Wed 24 Mar 21,0.0,0.0,0.0
Thu 25 Mar 21,0.0,0.0,0.0
Fri 26 Mar 21,0.0,0.0,0.0
Sat 27 Mar 21,0.0,0.0,0.0
Sun 28 Mar 21,0.0,0.0,0.0
Mon 29 Mar 21,0.0,0.0,0.0
Tue 30 Mar 21,0.0,0.0,0.0
Wed 31 Mar 21,0.0,0.0,0.0
Thu 1 Apr 21,0.0,0.0,0.0
Fri 2 Apr 21,0.0,0.0,0.0
Sat 3 Apr 21,0.0,0.0,0.0
Sun 4 Apr 21,0.0,0.0,0.0
Mon 5 Apr 21,0.0,0.0,0.0
Tue 6 Apr 21,0.0,0.0,0.0
Wed 7 Apr 21,0.0,0.0,0.0
Thu 8 Apr 21,0.0,0.0,0.0
Fri 9 Apr 21,0.0,0.0,0.0
Sat 10 Apr 21,0.0,0.0,0.0
Sun 11 Apr 21,0.0,0.0,0.0
Mon 12 Apr 21,0.0,0.0,0.0
Tue 13 Apr 21,0.0,0.0,0.0
Wed 14 Apr 21,0.0,0.0,0.0
Thu 15 Apr 21,0.0,0.0,0.0
Fri 16 Apr 21,0.0,0.0,0.0
Sat 17 Apr 21,0.0,0.0,0.0
Sun 18 Apr 21,0.0,0.0,0.0
Mon 19 Apr 21,0.0,0.0,0.0
Tue 20 Apr 21,0.0,0.0,0.0
Wed 21 Apr 21,0.0,0.0,0.0
Thu 22 Apr 21,0.0,0.0,0.0
Fri 23 Apr 21,0.0,0.0,0.0
Sat 24 Apr 21,0.0,0.0,0.0
Sun 25 Apr 21,0.0,0.0,0.0
Mon 26 Apr 21,0.0,0.0,0.0
Tue 27 Apr 21,0.0,0.0,0.0
Wed 28 Apr 21,1.121,555.0,1.676
Thu 29 Apr 21,179.0,0.0,179.0
Fri 30 Apr 21,0.0,0.0,0.0
Sat 1 May 21,2.927,1.114,4.048
Sun 2 May 21,2.671,649.0,3.319
Mon 3 May 21,2.345,713.0,3.058
Tue 4 May 21,838.0,83.0,921.0
Wed 5 May 21,574.0,242.0,815.0
Thu 6 May 21,1.999,587.0,2.587
Fri 7 May 21,2.336,1.545,3.881
Sat 8 May 21,2.14,293.0,2.433
Sun 9 May 21,3.524,1.381,5.057
Mon 10 May 21,680.0,555.0,1.235
Tue 11 May 21,1.58,611.0,2.19
Wed 12 May 21,1.587,216.0,1.803
Thu 13 May 21,3.863,1.297,5.164
Fri 14 May 21,3.376,1.16,4.538
Sat 15 May 21,3.218,878.0,4.096
Sun 16 May 21,3.792,635.0,4.427
Mon 17 May 21,666.0,614.0,1.28
Tue 18 May 21,745.0,899.0,1.643
Wed 19 May 21,818.0,663.0,1.481
Thu 20 May 21,2.259,1.888,4.147
Fri 21 May 21,1.187,2.616,3.804
Sat 22 May 21,1.822,2.226,4.048
Sun 23 May 21,2.876,3.016,5.972
Mon 24 May 21,2.78,2.115,4.896
Tue 25 May 21,1.34,1.542,2.882
Wed 26 May 21,1.499,1.155,2.654
Thu 27 May 21,1.09,2.267,3.357
Fri 28 May 21,1.894,2.79,4.684
Sat 29 May 21,4.119,3.837,8.013
